file,common_name,species,location
African_elephant_KZN_2019_2.jpg,African bush elephant,Loxodonta africana,"KwaZulu-Natal, South Africa 2019"
Collared_Peccary_Cloudbridge_CR_26.jpg,Collared peccary,Dicotyles tajacu,"Cloudbridge, Costa Rica"
Colugo_Singapore_2024.jpg,Sunda colugo,Galeopterus variegatus,Singapore 2024
Elephants_Kruger_2018_1.jpg,African bush elephant,Loxodonta africana,"Kruger, South Africa 2018"
Gemsbok_Namibia_2019_1.jpg,Gemsbok,Oryx gazella,Namibia 2019
Giraffe_Namibia_2019_2.jpg,Giraffe,Giraffa,Namibia 2019
Howler_Monkey_Belize_2019_3.jpg,Yucatan black howler,Alouatta pigra,Belize 2019
Hyena_Kruger_2023_3.jpg,Spotted hyena,Crocuta crocuta,"Kruger, South Africa 2023"
Kudu_Kruger_2018.jpg,Greater kudu,Tragelaphus strepsiceros,"Kruger, South Africa 2018"
Leo_Kruger_2023_1.jpg,Lion,Panthera leo,"Kruger, South Africa 2023"
Leo_Kruger_2023_3.jpg,Lion,Panthera leo,"Kruger, South Africa 2023"
Leo_Kruger_2023_4.jpg,Lion,Panthera leo,"Kruger, South Africa 2023"
Leo_Kruger_2023_6.jpg,Lion,Panthera leo,"Kruger, South Africa 2023"
Long_tailed_macaque_Sabah_3.jpg,Long-tailed macaque,Macaca fascicularis,"Sabah, Malaysia"
Orangutan_Sabah_2024.jpg,Bornean orangutan,Pongo pygmaeus,"Sabah, Malaysia 2024"
Proboscis_monkey_Sabah_2024_2.jpg,Proboscis monkey,Nasalis larvatus,"Sabah, Malaysia 2024"
Rhinos_siyafunda_2023_2.jpg,Rhinoceros,,"Siyafunda, South Africa 2023"
Skunk_CT_2020_1.jpg,Striped skunk,Mephitis mephitis,Connecticut 2020
Skunk_CT_2020_2.jpg,Striped skunk,Mephitis mephitis,Connecticut 2020
Skunk_CT_2020_3.jpg,Striped skunk,Mephitis mephitis,Connecticut 2020
Tarsier_Sarawak_2024.jpg,Western tarsier,Cephalopachus bancanus,"Sarawak, Malaysia 2024"
